best_f1,best_threshold,precision,recall,roc_auc,f1_t0.93,f1_t0.94,f1_t0.95,f1_t0.96,f1_t0.97,f1_t0.975,f1_t0.98,f1_t0.985,f1_t0.99,hidden_size,epochs,lr,model
0.5991058122205664,0.99,0.47294117647058825,0.8170731707317073,0.9731834637780808,0.06302789410178153,0.0722911227154047,0.08586203532051907,0.10985985985985985,0.15436599679886182,0.1945193171608266,0.25738396624472576,0.36924452391595886,0.5991058122205664,64,50,0.001,LSTM
0.5403899721448467,0.93,0.8584070796460177,0.3943089430894309,0.9576707473632604,0.5403899721448467,0.44245142002989535,0.3076923076923077,0.1169811320754717,0.03571428571428571,0.004056795131845842,0.0,0.0,0.0,64,50,0.0001,RNN
0.5132743362831859,0.99,0.3724770642201835,0.8252032520325203,0.9733701984330045,0.09853890587835543,0.11233909764659993,0.13172001837953745,0.16183437559219252,0.21021170610211706,0.2513497300539892,0.3053211009174312,0.3853727144866385,0.5132743362831859,64,20,0.001,RNN
0.4891041162227603,0.99,0.3482758620689655,0.8211382113821138,0.9743243674105313,0.07075697211155378,0.08040657046918959,0.09431137724550898,0.11556260743091366,0.15081165997556292,0.18427255196057424,0.23555555555555555,0.3287128712871287,0.4891041162227603,128,30,0.001,LSTM
0.483503299340132,0.99,0.34297872340425534,0.8191056910569106,0.9730823363928907,0.14773712502167505,0.16771902131018154,0.19558652729384438,0.23210831721470018,0.28463648834019206,0.31715705005731754,0.3581699346405229,0.4077961019490255,0.483503299340132,128,20,0.0005,RNN
0.40061162079510704,0.93,0.808641975308642,0.266260162601626,0.9600506830780986,0.40061162079510704,0.2914572864321608,0.16087751371115175,0.06627680311890838,0.0,0.0,0.0,0.0,0.0,128,20,0.0001,RNN
0.2987012987012987,0.99,0.18157894736842106,0.8414634146341463,0.971735953866582,0.06884681583476764,0.07670081428946678,0.0872690963554668,0.10232777974713458,0.12618203309692672,0.14517506404782238,0.1720561317876754,0.21499872024571282,0.2987012987012987,64,50,0.0005,RNN
0.21828601198228706,0.99,0.12518673438900507,0.8516260162601627,0.9718610870314601,0.06670187881988984,0.07303510664785459,0.08215324017631061,0.09510275470048098,0.11305837396231387,0.126725033387743,0.14409810935104753,0.17174177831912302,0.21828601198228706,128,30,0.0005,RNN
0.192950745594216,0.99,0.10854092526690391,0.8678861788617886,0.972524391459204,0.05032650303985589,0.05500061659884079,0.06147908194913502,0.07016989332279731,0.0846774193548387,0.09540481400437636,0.11273105961989065,0.1396025206010664,0.192950745594216,64,30,0.001,RNN
0.13432129906984078,0.99,0.07280806699709451,0.8658536585365854,0.9725799557601646,0.03374436978512885,0.036538847620959644,0.04025056644009063,0.04604726976365118,0.05491682974559687,0.062403805792640266,0.07420376855094214,0.0924672027084215,0.13432129906984078,128,50,0.001,LSTM
